English understanding,Shell script
move file.txt to the backup directory,mv file.txt backup/
rename report.doc to summary.doc,mv report.doc summary.doc
copy image.png to the images folder,cp image.png images/
create a new directory named logs,mkdir logs
remove the temp folder and its contents,rm -r temp/
list all files in the current directory,ls
list all hidden files in the current directory,ls -a
Group all JPG files based on their creation date into year/month folders,"find . -type f -iname ""*.jpg"" -exec bash -c 'for f; do dir=$(date -r ""$f"" ""+%Y/%B"" | tr ""[:upper:]"" ""[:lower:]""); mkdir -p ""$dir""; mv ""$f"" ""$dir/""; done' bash {} +"
move all .txt files to the docs folder,mv *.txt docs/
copy all files from dir1 to dir2,cp dir1/* dir2/
create nested folders a/b/c,mkdir -p a/b/c
delete a file named delete_me.txt,rm delete_me.txt
find all .py files in current directory,find . -name '*.py'
compress logs directory into logs.tar.gz,tar -czvf logs.tar.gz logs/
extract logs.tar.gz file,tar -xzvf logs.tar.gz
change file permissions to executable for script.sh,chmod +x script.sh
move up one directory and list contents,cd .. && ls
display current working directory,pwd
move everything from downloads to documents,mv downloads/* documents/
remove all .log files,rm *.log
copy script.sh to parent directory,cp script.sh ../
remove directory named old_data,rm -r old_data/
rename image1.jpg to photo.jpg,mv image1.jpg photo.jpg
move all PDFs to pdfs directory,mv *.pdf pdfs/
create directory if not exists named 'results',mkdir -p results
copy directory 'configs' to backup,cp -r configs backup/
list all files in /etc directory,ls /etc
show contents of file.txt,cat file.txt
clear terminal screen,clear
search for the word 'error' in logfile.txt,grep 'error' logfile.txt
move all .txt files from current directory to docs,mv *.txt docs/
move backup.zip to the backup folder one level up,mv backup.zip ../backup/
move everything from temp to archive,mv temp/* archive/
create a new folder called backups inside the current directory,mkdir backups
make a directory named scripts inside utils,mkdir -p utils/scripts
create folders named data1 to data5,mkdir data{1..5}
rename file1.txt to file2.txt,mv file1.txt file2.txt
change the name of old_folder to new_folder,mv old_folder new_folder
rename report_2022.docx to report_final.docx,mv report_2022.docx report_final.docx
delete the file unwanted.log,rm unwanted.log
remove the directory temp_files and its contents,rm -r temp_files/
remove all png files in the current folder,rm *.png
copy index.html to the public folder,cp index.html public/
copy everything from src to dest folder,cp -r src/* dest/
copy image.jpg and rename it as image_backup.jpg,cp image.jpg image_backup.jpg
find all .sh files in the current directory,find . -name '*.sh'
search for the string 'error' in server.log,grep 'error' server.log
make script.sh executable,chmod +x script.sh
write and execute permissions to all for file.sh,chmod 777 file.sh
display contents of todo.txt,cat todo.txt
Group all JPEG files based on their creation date into year/month folders,"find . -type f -iname ""*.jpeg"" -exec bash -c 'for f; do dir=$(date -r ""$f"" ""+%Y/%B"" | tr ""[:upper:]"" ""[:lower:]""); mkdir -p ""$dir""; mv ""$f"" ""$dir/""; done' bash {} +"
show the first 10 lines of log.txt,head log.txt
show the last 5 lines of history.log,tail -n 5 history.log
list all subdirectories in current directory,ls -d */
move all jpg files from images to photos,mv images/*.jpg photos/
copy all .csv files to data folder,cp *.csv data/
create a directory called archive,mkdir archive
remove all files in the cache directory,rm cache/*
find all files larger than 10MB,find . -type f -size +10M
find all empty directories,find . -type d -empty
copy file.txt and rename as file_copy.txt,cp file.txt file_copy.txt
move all files except .md files to backup,mv ^*.md backup/
find all files modified in the last 24 hours,find . -type f -mtime -1
find all directories named 'test',find . -type d -name 'test'
copy all files starting with 'data' to dataset,cp data* dataset/
move all files from dirA to dirB,mv dirA/* dirB/
remove all files in the current directory except .sh files,rm ^*.sh
create a directory structure a/b/c/d,mkdir -p a/b/c/d
copy all files and folders from src to dest,cp -r src/* dest/
move all files from current directory to parent directory,mv * ../
rename folder old to new,mv old new
remove all files with .bak extension,rm *.bak
find all files containing 'password',grep -rl 'password' .
copy all .json files from configs to backup,cp configs/*.json backup/
move all files from downloads to /tmp,mv downloads/* /tmp/
create a directory named test inside /tmp,mkdir /tmp/test
remove all files in /tmp older than 7 days,find /tmp -type f -mtime +7 -exec rm {} \;
find all symbolic links in current directory,find . -type l
find all files owned by user 'sohan',find . -user sohan
copy all files from /var/log to logs,cp /var/log/* logs/
move all .mp3 files to music directory,mv *.mp3 music/
create a directory named '2025' inside documents,mkdir documents/2025
remove all files in logs except error.log,rm logs/^error.log
find all files with 777 permissions,find . -type f -perm 0777
find all files not accessed in last 30 days,find . -type f -atime +30
copy all .zip files to archives,cp *.zip archives/
move all .tar.gz files to backup,mv *.tar.gz backup/
